Variety,Year,Orchard Code,Total_Acres_By_Variety_And_Orchard
Aldrich,2022,505 SOUTH,8391
Aldrich,2022,BI-1,7182
Aldrich,2022,BRU-2A,31066
Aldrich,2022,C&H 2,7011
Aldrich,2022,DAF,6781
Aldrich,2022,DAF 2,11623
Aldrich,2022,GJ,8120
Aldrich,2022,GL-RANCH,29227
Aldrich,2022,GOLF,19208
Aldrich,2022,JK,27279
Aldrich,2022,MCA,22208
Aldrich,2022,SP50,860
Aldrich,2022,TOP,32218
Aldrich,2022,ZUM,40072
Aldrich,2023,505 NORTH,4059
Aldrich,2023,505 SOUTH,25629
Aldrich,2023,BI-1,11209
Aldrich,2023,BRU-2A,17434
Aldrich,2023,C&H 2,4262
Aldrich,2023,DAF,6192
Aldrich,2023,DAF 2,11321
Aldrich,2023,GJ,7441
Aldrich,2023,GL-ORGANIC,8694
Aldrich,2023,GL-RANCH,7117
Aldrich,2023,GOLF,31630
Aldrich,2023,JK,30231
Aldrich,2023,MCA,19642
Aldrich,2023,SP50,4575
Aldrich,2023,TOP,26324
Aldrich,2024,505 NORTH,21305
Aldrich,2024,505 SOUTH,42975
Aldrich,2024,BI-1,9932
Aldrich,2024,C&H 2,4338
Aldrich,2024,DAF,17777
Aldrich,2024,DAF 2,11665
Aldrich,2024,GJ,7725
Aldrich,2024,GL-RANCH,16581
Aldrich,2024,GOLF,25449
Aldrich,2024,JK,28735
Aldrich,2024,SP50,3442
Aldrich,2024,TOP,25550
Bennett-Hickman,2023,505 SOUTH,16849
Bennett-Hickman,2024,505 NORTH,23647
Bennett-Hickman,2024,505 SOUTH,27893
Bennett-Hickman,2024,BALBOA,7285
Bennett-Hickman,2024,DAF,29629
Bennett-Hickman,2024,GOLF-P,26684
Butte,2022,BI-1,6122
Butte,2022,C&H 2,1997
Butte,2022,GOLF,19169
Butte,2022,KF,55631
Butte,2022,MAZZ-HOME,2751
Butte,2022,ZUM,39140
Butte,2023,BI-1,9923
Butte,2023,GOLF,32415
Butte,2023,KF,66353
Butte,2023,MAZZ-HOME,4639
Butte,2024,BI-1,9115
Butte,2024,GL-RANCH,2114
Butte,2024,GOLF,28334
Butte,2024,KF,49177
Butte,2024,MAZZ-HOME,3797
Butte/Padre,2022,SP50,5638
Butte/Padre,2023,SP50,33637
Butte/Padre,2024,SP50,48668
Carmel,2022,BRS-250,25175
Carmel,2022,BYRD,14706
Carmel,2022,C&H 2,849
Carmel,2022,C&H 3,27985
Carmel,2022,DAF,1258
Carmel,2022,GOLF,25387
Carmel,2022,SP50,1622
Carmel,2023,BRS-250,32118
Carmel,2023,BYRD,16349
Carmel,2023,C&H 3,27206
Carmel,2023,DAF,895
Carmel,2023,GOLF,14639
Carmel,2023,SP50,8395
Carmel,2024,BRS-250,29655
Carmel,2024,BYRD,13858
Carmel,2024,C&H 3,20369
Carmel,2024,DAF,1850
Carmel,2024,GOLF,30516
Carmel,2024,SP50,7176
Fritz,2022,BI-1,26959
Fritz,2022,BRU-2A,23249
Fritz,2022,C&H 2,5216
Fritz,2022,GJ,8269
Fritz,2022,GL-RANCH,22633
Fritz,2022,MAZZ-HOME,1930
Fritz,2022,MCA,10200
Fritz,2022,WFP,17971
Fritz,2023,BI-1,47444
Fritz,2023,BRU-2A,11946
Fritz,2023,C&H 2,3555
Fritz,2023,GJ,7713
Fritz,2023,GL-RANCH,14499
Fritz,2023,MAZZ-HOME,4759
Fritz,2023,MCA,15864
Fritz,2023,WFP,17426
Fritz,2024,BI-1,50091
Fritz,2024,C&H 2,2227
Fritz,2024,GJ,7725
Fritz,2024,GL-RANCH,20499
Fritz,2024,MAZZ-HOME,3952
Fritz,2024,WFP,14808
Independence,2022,DIBBLE,51426
Independence,2022,ENH,11848
Independence,2022,ESP,73017
Independence,2022,JBW,10153
Independence,2022,MCA,9055
Independence,2022,REYES,33650
Independence,2022,RJR,19098
Independence,2022,SANTOW,21815
Independence,2023,BALBOA,18489
Independence,2023,DIBBLE,52527
Independence,2023,ENH,14477
Independence,2023,ESP,77909
Independence,2023,GOOD,14964
Independence,2023,JBW,11403
Independence,2023,MAZZ-HOME,21255
Independence,2023,REYES,66719
Independence,2023,RJR,18615
Independence,2023,SANTOW,24235
Independence,2024,BALBOA,53848
Independence,2024,BRU-1A,31804
Independence,2024,DAF,47433
Independence,2024,GOOD,51175
Independence,2024,REYES,58200
Mission,2022,SP50,8619
Mission,2023,SP50,18606
Mission,2024,SP50,21409
Monterey,2022,505 SOUTH,10554
Monterey,2022,BI-1,33593
Monterey,2022,BRS-250,29131
Monterey,2022,BYRD,35866
Monterey,2022,C&H 3,53003
Monterey,2022,GL-RANCH,16865
Monterey,2022,MCA,16782
Monterey,2022,RCH,6112
Monterey,2022,ZUM,48173
Monterey,2023,505 NORTH,6921
Monterey,2023,505 SOUTH,45847
Monterey,2023,BI-1,48007
Monterey,2023,BRS-250,36191
Monterey,2023,BYRD,33033
Monterey,2023,C&H 3,57406
Monterey,2023,GL-RANCH,8624
Monterey,2023,MCA,17105
Monterey,2023,RCH,7005
Monterey,2024,505 NORTH,43982
Monterey,2024,505 SOUTH,54606
Monterey,2024,BI-1,50208
Monterey,2024,BRS-250,32474
Monterey,2024,BYRD,32365
Monterey,2024,C&H 3,48619
Monterey,2024,GL-RANCH,6524
Monterey,2024,RCH,5825
Nonpareil,2022,505 SOUTH,32944
Nonpareil,2022,BI-1,85690
Nonpareil,2022,BRS-250,96616
Nonpareil,2022,BRU-2A,118618
Nonpareil,2022,BYRD,66748
Nonpareil,2022,C&H 2,21062
Nonpareil,2022,C&H 3,128870
Nonpareil,2022,DAF,26217
Nonpareil,2022,DAF 2,23554
Nonpareil,2022,ENH,19172
Nonpareil,2022,GJ,31198
Nonpareil,2022,GL-RANCH,111209
Nonpareil,2022,GOLF,65479
Nonpareil,2022,JK,48056
Nonpareil,2022,KF,99430
Nonpareil,2022,MAZZ-HOME,4878
Nonpareil,2022,MCA,71418
Nonpareil,2022,RCH,29955
Nonpareil,2022,TOP,93529
Nonpareil,2022,WFP,22745
Nonpareil,2022,ZUM,137619
Nonpareil,2023,505 SOUTH,83773
Nonpareil,2023,BI-1,111394
Nonpareil,2023,BRS-250,96993
Nonpareil,2023,BRU-2A,70694
Nonpareil,2023,BYRD,68687
Nonpareil,2023,C&H 2,13355
Nonpareil,2023,C&H 3,129431
Nonpareil,2023,DAF,34088
Nonpareil,2023,DAF 2,23195
Nonpareil,2023,ENH,26422
Nonpareil,2023,GJ,24352
Nonpareil,2023,GL-ORGANIC,19496
Nonpareil,2023,GL-RANCH,84136
Nonpareil,2023,GOLF,88580
Nonpareil,2023,GOLF-P,19706
Nonpareil,2023,JK,54582
Nonpareil,2023,KF,75079
Nonpareil,2023,MAZZ-HOME,7596
Nonpareil,2023,MCA,83429
Nonpareil,2023,RCH,20086
Nonpareil,2023,TOP,77778
Nonpareil,2023,WFP,16607
Nonpareil,2024,505 NORTH,82098
Nonpareil,2024,505 SOUTH,138466
Nonpareil,2024,BALBOA,18719
Nonpareil,2024,BI-1,156888
Nonpareil,2024,BRS-250,113638
Nonpareil,2024,BYRD,92266
Nonpareil,2024,C&H 2,17104
Nonpareil,2024,C&H 3,140084
Nonpareil,2024,DAF,79387
Nonpareil,2024,DAF 2,23435
Nonpareil,2024,GJ,28758
Nonpareil,2024,GL-RANCH,103911
Nonpareil,2024,GOLF,96647
Nonpareil,2024,GOLF-P,53918
Nonpareil,2024,JK,56988
Nonpareil,2024,KF,119356
Nonpareil,2024,MAZZ-HOME,8986
Nonpareil,2024,RCH,33708
Nonpareil,2024,TOP,105327
Nonpareil,2024,WFP,21081
Nonpareil/Bennett-Hickman,2023,505 NORTH,17504
Nonpareil/Bennett-Hickman,2023,BALBOA,7178
Peerless,2022,RCH,4604
Peerless,2023,RCH,4316
Peerless,2024,RCH,4861
Sonora,2022,BRS-250,21635
Sonora,2022,BYRD,11689
Sonora,2022,C&H 3,19773
Sonora,2022,DAF,2492
Sonora,2022,DAF 2,6348
Sonora,2022,ENH,4311
Sonora,2022,JK,5509
Sonora,2022,KF,6552
Sonora,2022,MCA,7892
Sonora,2022,RCH,10788
Sonora,2022,TOP,26244
Sonora,2023,BALBOA,2590
Sonora,2023,BRS-250,25844
Sonora,2023,BYRD,15251
Sonora,2023,C&H 3,26019
Sonora,2023,DAF,2142
Sonora,2023,DAF 2,7211
Sonora,2023,ENH,9696
Sonora,2023,GL-ORGANIC,6553
Sonora,2023,JK,11506
Sonora,2023,KF,20494
Sonora,2023,MCA,7752
Sonora,2023,RCH,5418
Sonora,2023,TOP,24076
Sonora,2024,BALBOA,7222
Sonora,2024,BRS-250,39227
Sonora,2024,BYRD,21350
Sonora,2024,C&H 3,27501
Sonora,2024,DAF,14725
Sonora,2024,DAF 2,13490
Sonora,2024,JK,17205
