Orchard Code,Variety,Incoming,USDA Mt Lbs,Turnout,Year,Acreage,Sum of N_incoming,Average of N_Mt Lbs
505 NORTH,Aldrich,19340,4059,20.99%,2023,360.33,53.67,11.26
505 NORTH,Aldrich,86940,21305,24.51%,2024,360.33,241.28,59.13
505 NORTH,Bennett-Hickman,106860,23647,22.13%,2024,360.33,296.56,65.63
505 NORTH,Monterey,33280,6921,20.80%,2023,360.33,92.36,19.21
505 NORTH,Monterey,189300,43982,23.23%,2024,360.33,525.35,122.06
505 NORTH,Nonpareil,380240,82098,21.59%,2024,360.33,1055.25,227.84
505 NORTH,Nonpareil/Bennett-Hickman,139780,17504,12.52%,2023,360.33,387.92,48.58
505 SOUTH,Aldrich,48720,8391,17.22%,2022,360.33,135.21,23.29
505 SOUTH,Aldrich,87132,25629,29.41%,2023,360.33,241.81,71.13
505 SOUTH,Aldrich,163360,42975,26.31%,2024,360.33,453.36,119.27
505 SOUTH,Bennett-Hickman,73452,16849,22.94%,2023,360.33,203.85,46.76
505 SOUTH,Bennett-Hickman,130260,27893,21.41%,2024,360.33,361.5,77.41
505 SOUTH,Monterey,166600,45847,27.52%,2023,360.33,462.35,127.24
505 SOUTH,Monterey,211420,54606,25.83%,2024,360.33,586.74,151.54
505 SOUTH,Monterey,52060,10554,20.27%,2022,360.33,144.48,29.29
505 SOUTH,Nonpareil,219820,32944,14.99%,2022,360.33,610.05,91.43
505 SOUTH,Nonpareil,341860,83773,24.51%,2023,360.33,948.74,232.49
505 SOUTH,Nonpareil,567480,138466,24.40%,2024,360.33,1574.89,384.28
BALBOA,Bennett-Hickman,37020,7285,19.68%,2024,163.32,226.67,44.61
BALBOA,Independence,223940,53848,24.05%,2024,163.32,1371.17,329.71
BALBOA,Independence,101640,18489,18.19%,2023,163.32,622.34,113.21
BALBOA,Nonpareil,126620,18719,14.78%,2024,163.32,775.29,114.62
BALBOA,Nonpareil/Bennett-Hickman,59800,7178,12.00%,2023,163.32,366.15,43.95
BALBOA,Sonora,20360,2590,12.72%,2023,163.32,124.66,15.86
BALBOA,Sonora,32240,7222,22.40%,2024,163.32,197.4,44.22
BI-1,Aldrich,24140,7182,29.75%,2022,159.37,151.47,45.06
BI-1,Aldrich,46620,11209,24.04%,2023,159.37,292.53,70.33
BI-1,Aldrich,39200,9932,25.34%,2024,159.37,245.97,62.32
BI-1,Butte,27820,6122,22.01%,2022,159.37,174.56,38.41
BI-1,Butte,47240,9923,21.01%,2023,159.37,296.42,62.26
BI-1,Butte,40480,9115,22.52%,2024,159.37,254,57.19
BI-1,Fritz,136060,26959,19.81%,2022,159.37,853.74,169.16
BI-1,Fritz,255700,47444,18.55%,2023,159.37,1604.44,297.7
BI-1,Fritz,221260,50091,22.64%,2024,159.37,1388.34,314.31
