SampleID,Field,SampleDate,Parameter,Sum of Current,Average of Ideal
043024-sp-84,DAF 2,2024-03-20,pH (1:1),6.34,6.2
043024-sp-84,DAF 2,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-84,DAF 2,2024-03-20,EC,0.02,0.7
043024-sp-84,DAF 2,2024-03-20,ORP,27.0,80.0
043024-sp-84,DAF 2,2024-03-20,Organic Matter,2.34,7.0
043024-sp-84,DAF 2,2024-03-20,Active Carbon,183.46,1000.0
043024-sp-84,DAF 2,2024-03-20,Bicarbonates,81.17,60.0
043024-sp-84,DAF 2,2024-03-20,Est N from OM in lb,66.8,120.0
043024-sp-84,DAF 2,2024-03-20,Nitrate,8.78,30.0
043024-sp-84,DAF 2,2024-03-20,Ammonium,0.64,40.0
043024-sp-85,DAF,2024-03-20,pH (1:1),6.91,6.2
043024-sp-85,DAF,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-85,DAF,2024-03-20,EC,0.02,0.7
043024-sp-85,DAF,2024-03-20,ORP,2.0,80.0
043024-sp-85,DAF,2024-03-20,Organic Matter,1.58,7.0
043024-sp-85,DAF,2024-03-20,Active Carbon,106.99,1000.0
043024-sp-85,DAF,2024-03-20,Bicarbonates,116.18,60.0
043024-sp-85,DAF,2024-03-20,Est N from OM in lb,51.6,120.0
043024-sp-85,DAF,2024-03-20,Nitrate,3.64,30.0
043024-sp-85,DAF,2024-03-20,Ammonium,0.0,40.0
043024-sp-86,GOODMAN,2024-03-20,pH (1:1),7.71,6.2
043024-sp-86,GOODMAN,2024-03-20,Soluble Salts,0.03,0.64
043024-sp-86,GOODMAN,2024-03-20,EC,0.04,0.7
043024-sp-86,GOODMAN,2024-03-20,ORP,-37.0,80.0
043024-sp-86,GOODMAN,2024-03-20,Organic Matter,3.36,7.0
043024-sp-86,GOODMAN,2024-03-20,Active Carbon,150.32,1000.0
043024-sp-86,GOODMAN,2024-03-20,Bicarbonates,140.13,60.0
043024-sp-86,GOODMAN,2024-03-20,Est N from OM in lb,83.6,120.0
043024-sp-86,GOODMAN,2024-03-20,Nitrate,22.88,30.0
043024-sp-86,GOODMAN,2024-03-20,Ammonium,0.0,40.0
043024-sp-87,MAZZ-HOME,2024-03-20,pH (1:1),7.67,6.2
043024-sp-87,MAZZ-HOME,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-87,MAZZ-HOME,2024-03-20,EC,0.02,0.7
043024-sp-87,MAZZ-HOME,2024-03-20,ORP,-30.0,80.0
043024-sp-87,MAZZ-HOME,2024-03-20,Organic Matter,2.08,7.0
043024-sp-87,MAZZ-HOME,2024-03-20,Active Carbon,99.35,1000.0
043024-sp-87,MAZZ-HOME,2024-03-20,Bicarbonates,116.83,60.0
043024-sp-87,MAZZ-HOME,2024-03-20,Est N from OM in lb,61.6,120.0
043024-sp-87,MAZZ-HOME,2024-03-20,Nitrate,13.76,30.0
043024-sp-87,MAZZ-HOME,2024-03-20,Ammonium,0.0,40.0
043024-sp-88,BRS-250,2024-03-20,pH (1:1),7.24,6.2
043024-sp-88,BRS-250,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-88,BRS-250,2024-03-20,EC,0.02,0.7
043024-sp-88,BRS-250,2024-03-20,ORP,-16.0,80.0
043024-sp-88,BRS-250,2024-03-20,Organic Matter,,7.0
043024-sp-88,BRS-250,2024-03-20,Active Carbon,214.04,1000.0
043024-sp-88,BRS-250,2024-03-20,Bicarbonates,113.24,60.0
043024-sp-88,BRS-250,2024-03-20,Est N from OM in lb,0.0,120.0
043024-sp-88,BRS-250,2024-03-20,Nitrate,21.88,30.0
043024-sp-88,BRS-250,2024-03-20,Ammonium,0.25,40.0
043024-sp-89,C&H3,2024-03-20,pH (1:1),7.2,6.2
043024-sp-89,C&H3,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-89,C&H3,2024-03-20,EC,0.02,0.7
043024-sp-89,C&H3,2024-03-20,ORP,-12.0,80.0
043024-sp-89,C&H3,2024-03-20,Organic Matter,2.96,7.0
043024-sp-89,C&H3,2024-03-20,Active Carbon,198.75,1000.0
043024-sp-89,C&H3,2024-03-20,Bicarbonates,115.73,60.0
043024-sp-89,C&H3,2024-03-20,Est N from OM in lb,79.2,120.0
043024-sp-89,C&H3,2024-03-20,Nitrate,14.71,30.0
043024-sp-89,C&H3,2024-03-20,Ammonium,0.02,40.0
043024-sp-90,505 SOUTH,2024-03-20,pH (1:1),6.6,6.2
043024-sp-90,505 SOUTH,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-90,505 SOUTH,2024-03-20,EC,0.03,0.7
043024-sp-90,505 SOUTH,2024-03-20,ORP,7.0,80.0
043024-sp-90,505 SOUTH,2024-03-20,Organic Matter,2.86,7.0
043024-sp-90,505 SOUTH,2024-03-20,Active Carbon,186.0,1000.0
043024-sp-90,505 SOUTH,2024-03-20,Bicarbonates,110.19,60.0
043024-sp-90,505 SOUTH,2024-03-20,Est N from OM in lb,77.2,120.0
043024-sp-90,505 SOUTH,2024-03-20,Nitrate,20.91,30.0
043024-sp-90,505 SOUTH,2024-03-20,Ammonium,0.19,40.0
043024-sp-91,BALBOA,2024-03-20,pH (1:1),7.41,6.2
043024-sp-91,BALBOA,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-91,BALBOA,2024-03-20,EC,0.02,0.7
043024-sp-91,BALBOA,2024-03-20,ORP,-30.0,80.0
043024-sp-91,BALBOA,2024-03-20,Organic Matter,2.68,7.0
043024-sp-91,BALBOA,2024-03-20,Active Carbon,165.61,1000.0
043024-sp-91,BALBOA,2024-03-20,Bicarbonates,123.76,60.0
043024-sp-91,BALBOA,2024-03-20,Est N from OM in lb,73.6,120.0
043024-sp-91,BALBOA,2024-03-20,Nitrate,14.38,30.0
043024-sp-91,BALBOA,2024-03-20,Ammonium,0.0,40.0
043024-sp-92,TERK,2024-03-20,pH (1:1),7.12,6.2
043024-sp-92,TERK,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-92,TERK,2024-03-20,EC,0.03,0.7
043024-sp-92,TERK,2024-03-20,ORP,-8.0,80.0
043024-sp-92,TERK,2024-03-20,Organic Matter,2.4,7.0
043024-sp-92,TERK,2024-03-20,Active Carbon,203.85,1000.0
043024-sp-92,TERK,2024-03-20,Bicarbonates,122.98,60.0
043024-sp-92,TERK,2024-03-20,Est N from OM in lb,68.0,120.0
043024-sp-92,TERK,2024-03-20,Nitrate,16.84,30.0
043024-sp-92,TERK,2024-03-20,Ammonium,0.4,40.0
043024-sp-93,REYES,2024-03-20,pH (1:1),7.31,6.2
043024-sp-93,REYES,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-93,REYES,2024-03-20,EC,0.02,0.7
043024-sp-93,REYES,2024-03-20,ORP,-22.0,80.0
043024-sp-93,REYES,2024-03-20,Organic Matter,2.22,7.0
043024-sp-93,REYES,2024-03-20,Active Carbon,112.09,1000.0
043024-sp-93,REYES,2024-03-20,Bicarbonates,121.02,60.0
043024-sp-93,REYES,2024-03-20,Est N from OM in lb,64.4,120.0
043024-sp-93,REYES,2024-03-20,Nitrate,7.69,30.0
043024-sp-93,REYES,2024-03-20,Ammonium,0.05,40.0
