U/M,YearMonth,Year,Month,Qty,Sales Price,Field,Fertilizer
bg,2022-03,2022,3,0.1,137.75,JBW,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2022-03,2022,3,2.5,137.75,KF,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2022-04,2022,4,2,13.75,GL-RANCH,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2022-08,2022,8,0.1,2860.6,GL-RANCH,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2023-04,2023,4,0.7,164.54304,TD,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2023-04,2023,4,2,157.035,GL-RANCH,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2023-04,2023,4,2.2,164.54304,GL-RANCH,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2023-06,2023,6,1,165.2772,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2023-07,2023,7,2,165.28756,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2023-08,2023,8,1.44,165.3,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2024-02,2024,2,0.8,165.3,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2024-04,2024,4,1,165.3,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2024-05,2024,5,0.88,165.3,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2024-05,2024,5,1,165.3,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2024-06,2024,6,-1,97.66,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2024-06,2024,6,1,0,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
bg,2024-12,2024,12,2.28,131.385,GL-ORGANIC,GROWER'S SECRET NITROGEN 14-0-0 (GROWER'S SECRET NITROGEN 14-0-0)
btl,2023-06,2023,6,2,394.155,GL-ORGANIC,TWIN N BIOLOGICAL (TWIN N BIOLOGICAL)
btl,2023-11,2023,11,2,394.155,GL-ORGANIC,TWIN N BIOLOGICAL (TWIN N BIOLOGICAL)
btl,2024-04,2024,4,2,394.155,GL-ORGANIC,TWIN N BIOLOGICAL (TWIN N BIOLOGICAL)
btl,2024-05,2024,5,2,394.155,GL-ORGANIC,TWIN N BIOLOGICAL (TWIN N BIOLOGICAL)
btl,2024-07,2024,7,2,394.155,GL-ORGANIC,TWIN N BIOLOGICAL (TWIN N BIOLOGICAL)
gal,2022-02,2022,2,0.25,174.33,JBW,COBALT Blue Gold (COBALT Blue Gold)
gal,2022-02,2022,2,0.5,100.75,JBW,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-02,2022,2,0.5,106.9,JBW,BASE Blue Gold (BASE Blue Gold)
gal,2022-02,2022,2,0.9375,89.75,JBW,AWP Key Plex 2.5 (AWP Key Plex 2.5)
gal,2022-02,2022,2,2.5,16.53,JBW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,3.75,174.33,GL-RANCH,COBALT Blue Gold (COBALT Blue Gold)
gal,2022-02,2022,2,5,25.5,JBW,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2022-02,2022,2,6,14.53,MAZZ-HOME,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,6,16.53,MAZZ-HOME,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,6,174.33,KF,COBALT Blue Gold (COBALT Blue Gold)
gal,2022-02,2022,2,6.5,174.33,TERK,COBALT Blue Gold (COBALT Blue Gold)
gal,2022-02,2022,2,7.5,100.75,GL-RANCH,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-02,2022,2,7.5,106.9,GL-RANCH,BASE Blue Gold (BASE Blue Gold)
gal,2022-02,2022,2,8.4,14.53,WFP - DAWLEY,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,8.4,16.53,WFP - DAWLEY,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,9,14.53,GJ,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,9,16.53,GJ,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,10.2,14.53,DAF 2,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,10.2,16.53,DAF 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,11.5,100.75,TERK,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-02,2022,2,11.5,106.9,TERK,BASE Blue Gold (BASE Blue Gold)
gal,2022-02,2022,2,12,14.53,DAF,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,12,14.53,RCH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,12,16.53,DAF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,12,16.53,RCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,12,100.75,KF,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-02,2022,2,12,106.9,KF,BASE Blue Gold (BASE Blue Gold)
gal,2022-02,2022,2,14.0625,89.75,GL-RANCH,AWP Key Plex 2.5 (AWP Key Plex 2.5)
gal,2022-02,2022,2,15,14.53,505 SOUTH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,15,16.53,505 SOUTH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,15.6,14.53,C & H 2,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,15.6,16.53,C & H 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,18,14.53,REYES,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,18,16.53,REYES,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,21,14.53,JK,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,21,16.53,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,21.6,14.53,MAZZ-50,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,21.6,16.53,MAZZ-50,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,22.5,89.75,KF,AWP Key Plex 2.5 (AWP Key Plex 2.5)
gal,2022-02,2022,2,24,14.53,SP50,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,24,16.53,SP50,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,33,14.53,BYRD,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,33,14.53,TOP,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,33,16.53,BYRD,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,33,16.53,TOP,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,33,36.79,BYRD,ENHANCE FOLIAR (ENHANCE FOLIAR)
gal,2022-02,2022,2,37.5,16.53,GL-RANCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,39,14.53,BRU-2A,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,39,16.53,BRU-2A,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,42,14.53,BRS-250,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,42,16.53,BRS-250,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,42,36.79,BRS-250,ENHANCE FOLIAR (ENHANCE FOLIAR)
gal,2022-02,2022,2,45,14.53,GOLF,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,45,16.53,GOLF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,45,36.79,GOLF,ENHANCE FOLIAR (ENHANCE FOLIAR)
gal,2022-02,2022,2,51,14.53,C & H 3,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,51,16.53,C & H 3,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,51,36.79,C & H 3,ENHANCE FOLIAR (ENHANCE FOLIAR)
gal,2022-02,2022,2,60,16.53,KF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,62.5,14.76,TERK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,66,14.53,BI-1,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,66,16.53,BI-1,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,69,14.53,ZUM,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,69,16.53,ZUM,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,69,36.79,ZUM,ENHANCE FOLIAR (ENHANCE FOLIAR)
gal,2022-02,2022,2,75,25.5,GL-RANCH,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2022-02,2022,2,96,14.53,DNW,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,96,16.53,DNW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-02,2022,2,112.5,25.5,TERK,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2022-02,2022,2,120,25.5,KF,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2022-02,2022,2,250,12.97,FI,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-02,2022,2,275,14.76,FI,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,0.5,98.08,JBW,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-03,2022,3,0.625,100.75,JBW,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-03,2022,3,0.625,106.9,JBW,BASE Blue Gold (BASE Blue Gold)
gal,2022-03,2022,3,1.25,25.5,JBW,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2022-03,2022,3,1.25,29.5,JBW,SENIPHOS 3-23-0 (SENIPHOS 3-23-0)
gal,2022-03,2022,3,2.5,11.94,JBW,VIRTUS FOLIAR 2-0-1 (VIRTUS FOLIAR 2-0-1)
gal,2022-03,2022,3,2.5,16.53,JBW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,3,17.94,MAZZ-HOME,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,4.2,17.94,WFP - DAWLEY,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,4.375,100.75,JK,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-03,2022,3,4.375,106.9,JK,BASE Blue Gold (BASE Blue Gold)
gal,2022-03,2022,3,4.5,10.55,MAZZ-HOME,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,4.5,17.94,GJ,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,4.8,17.94,DAF 2,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,5,11.64,JBW,VIRTUS FOLIAR 2-0-1 (VIRTUS FOLIAR 2-0-1)
gal,2022-03,2022,3,6,14.53,MAZZ-HOME,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,6,16.53,MAZZ-HOME,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,6,17.94,RCH,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,6.3,10.55,WFP - DAWLEY,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,6.75,10.55,GJ,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,7.2,10.55,DAF 2,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,7.5,17.94,505 SOUTH,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,7.5,17.94,C & H 2,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,7.5,17.94,DAF,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,8.4,14.53,WFP - DAWLEY,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,8.4,16.53,WFP - DAWLEY,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,8.75,25.5,JK,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2022-03,2022,3,9,10.55,RCH,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,9,14.53,GJ,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,9,16.53,GJ,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,9,17.94,REYES,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,9.6,14.53,DAF 2,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,9.6,16.53,DAF 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,10.5,17.94,JK,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,11.25,10.55,505 SOUTH,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,11.25,10.55,C & H 2,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,11.25,10.55,DAF,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,12,14.53,RCH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,12,16.53,RCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,12,17.94,MAZZ-50,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,12,17.94,SP50,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,12.5,98.08,KF,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-03,2022,3,13.5,10.55,REYES,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,15,14.53,505 SOUTH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,15,14.53,C & H 2,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,15,14.53,DAF,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,15,16.53,505 SOUTH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,15,16.53,C & H 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,15,16.53,DAF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,15.75,10.55,JK,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,16.5,17.94,BYRD,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,16.5,17.94,TOP,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,17.5,16.53,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,18,10.55,MAZZ-50,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,18,10.55,SP50,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,18,14.53,REYES,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,18,16.53,REYES,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,19.5,17.94,BRS-250,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,19.5,17.94,BRU-2A,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,21,14.53,JK,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,21,16.53,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,22.5,17.94,C & H 3,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,22.5,17.94,GOLF,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,24,14.53,MAZZ-50,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,24,14.53,SP50,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,24,16.53,MAZZ-50,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,24,16.53,SP50,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,24,17.94,DNW,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,24.75,10.55,BYRD,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,24.75,10.55,TOP,TOPHAT 9-0-0 (TOPHAT 9-0-0)
