Name,Merged Quantity,Item,Amount,Item2,Name2,Date
"",0.553,"",235.89,"","",""
"",10.725,"",207.1,"","",""
"",100,"",158.6,"","",""
"",10247.50974,"",122733.68,"","",""
"",10809.55288,"",115132.96,"","",""
"",12649.87455,"",64860.01,"","",""
"",13577.63206,"",170128.16,"","",""
"",139.75782,"",2782.37,"","",""
"",14153.84523,"",159250.33,"","",""
"",15351.90843,"",167571.68,"","",""
"",17533.85397,"",121128.12,"","",""
"",1781.23219,"",20058.26,"","",""
"",1871.26063,"",21606.13,"","",""
"",19956.93806,"",169673.84,"","",""
"",2.765,"",1753.15,"","",""
"",20857.84683,"",245153.27,"","",""
"",22143.78095,"",197989,"","",""
"",24063.0552,"",534488.14,"","",""
"",26194.72197,"",168402.04,"","",""
"",2690.81972,"",24605.56,"","",""
"",2714.47977,"",25665.33,"","",""
"",272.66619,"",2637.89,"","",""
"",2737.07558,"",18579.27,"","",""
"",27450.45396,"",272880.01,"","",""
"",2774.38162,"",29127.48,"","",""
"",27813.8632,"",187317.25,"","",""
"",28.7204,"",18259.5,"","",""
"",3292.23925,"",32939.58,"","",""
"",33.2,"",448.87,"","",""
"",375916.6069,"",7972140.32,"","",""
"",38535.92805,"",334581.98,"","",""
"",424.86,"",13105.44,"","",""
"",4548.8241,"",84114.08,"","",""
"",479.12503,"",3285.36,"","",""
"",4830.69546,"",62975.61,"","",""
"",4879.8904,"",104079.89,"","",""
"",5027.36396,"",32344.01,"","",""
"",5151.76242,"",66648.38,"","",""
"",528.89847,"",1589.58,"","",""
"",5698.23375,"",169630.28,"","",""
"",5940.40954,"",63851.97,"","",""
"",622.32533,"",3574.25,"","",""
"",7435.29916,"",74193.94,"","",""
"",770.4431,"",6761.08,"","",""
"",9787.83493,"",69560.84,"","",""
BRU-1A,4.29 tn,0-0-0 25.10S 21.16Ca (0-0-0 25.10S 21.16Ca),1662.8,0-0-0 25.10S 21.16Ca (0-0-0 25.10S 21.16Ca),BRU-1A,04/15/2025
JK,50 lb,15-15-15 (15-15-15),25.65,15-15-15 (15-15-15),JK,07/09/2024
OVERHEAD,50 lb,15-15-15 (15-15-15),27.5,15-15-15 (15-15-15),OVERHEAD,02/20/2024
505 NORTH,138.39844 gal,7 SEAS ELITE (7 SEAS ELITE),4290.35,7 SEAS ELITE (7 SEAS ELITE),505 NORTH,04/15/2025
505 SOUTH,138.39844 gal,7 SEAS ELITE (7 SEAS ELITE),4290.35,7 SEAS ELITE (7 SEAS ELITE),505 SOUTH,04/15/2025
BALBOA,35.42188 gal,7 SEAS ELITE (7 SEAS ELITE),2140.18,7 SEAS ELITE (7 SEAS ELITE),BALBOA,04/16/2024
BALBOA,42 gal,7 SEAS ELITE (7 SEAS ELITE),1302,7 SEAS ELITE (7 SEAS ELITE),BALBOA,08/08/2023
BALBOA,68.27344 gal,7 SEAS ELITE (7 SEAS ELITE),2116.48,7 SEAS ELITE (7 SEAS ELITE),BALBOA,04/15/2025
BALBOA,84 gal,7 SEAS ELITE (7 SEAS ELITE),2604,7 SEAS ELITE (7 SEAS ELITE),BALBOA,07/09/2024
BI-1,120.86719 gal,7 SEAS ELITE (7 SEAS ELITE),3746.88,7 SEAS ELITE (7 SEAS ELITE),BI-1,04/15/2025
BI-1,122.09375 gal,7 SEAS ELITE (7 SEAS ELITE),3688.45,7 SEAS ELITE (7 SEAS ELITE),BI-1,04/16/2024
BRS-250,108 gal,7 SEAS ELITE (7 SEAS ELITE),3348,7 SEAS ELITE (7 SEAS ELITE),BRS-250,07/09/2024
BRS-250,24 gal,7 SEAS ELITE (7 SEAS ELITE),744,7 SEAS ELITE (7 SEAS ELITE),BRS-250,08/08/2023
BRS-250,93.20313 gal,7 SEAS ELITE (7 SEAS ELITE),2815.67,7 SEAS ELITE (7 SEAS ELITE),BRS-250,04/16/2024
BRS-250,94.11719 gal,7 SEAS ELITE (7 SEAS ELITE),2917.63,7 SEAS ELITE (7 SEAS ELITE),BRS-250,04/15/2025
BYRD,58.71875 gal,7 SEAS ELITE (7 SEAS ELITE),1773.89,7 SEAS ELITE (7 SEAS ELITE),BYRD,04/16/2024
BYRD,59.97656 gal,7 SEAS ELITE (7 SEAS ELITE),1859.27,7 SEAS ELITE (7 SEAS ELITE),BYRD,04/15/2025
BYRD,64.8125 gal,7 SEAS ELITE (7 SEAS ELITE),2009.19,7 SEAS ELITE (7 SEAS ELITE),BYRD,07/09/2024
C & H 2,13.83594 gal,7 SEAS ELITE (7 SEAS ELITE),428.91,7 SEAS ELITE (7 SEAS ELITE),C & H 2,04/15/2025
C & H 3,86.67969 gal,7 SEAS ELITE (7 SEAS ELITE),2618.59,7 SEAS ELITE (7 SEAS ELITE),C & H 3,04/16/2024
C & H 3,87.65625 gal,7 SEAS ELITE (7 SEAS ELITE),2717.34,7 SEAS ELITE (7 SEAS ELITE),C & H 3,04/15/2025
DAF,166.07813 gal,7 SEAS ELITE (7 SEAS ELITE),5148.42,7 SEAS ELITE (7 SEAS ELITE),DAF,04/15/2025
DAF 2,18.45313 gal,7 SEAS ELITE (7 SEAS ELITE),572.05,7 SEAS ELITE (7 SEAS ELITE),DAF 2,04/15/2025
GJ,16.60938 gal,7 SEAS ELITE (7 SEAS ELITE),514.89,7 SEAS ELITE (7 SEAS ELITE),GJ,04/15/2025
GJ,16.78125 gal,7 SEAS ELITE (7 SEAS ELITE),506.96,7 SEAS ELITE (7 SEAS ELITE),GJ,04/16/2024
GL-RANCH,106.10156 gal,7 SEAS ELITE (7 SEAS ELITE),3289.15,7 SEAS ELITE (7 SEAS ELITE),GL-RANCH,04/15/2025
GL-RANCH,11.07031 gal,7 SEAS ELITE (7 SEAS ELITE),343.18,7 SEAS ELITE (7 SEAS ELITE),GL-RANCH,04/15/2025
GOLF,87.65625 gal,7 SEAS ELITE (7 SEAS ELITE),2717.34,7 SEAS ELITE (7 SEAS ELITE),GOLF,04/15/2025
GOLF,88.54688 gal,7 SEAS ELITE (7 SEAS ELITE),2675,7 SEAS ELITE (7 SEAS ELITE),GOLF,04/16/2024
GOLFP,95.95313 gal,7 SEAS ELITE (7 SEAS ELITE),2974.55,7 SEAS ELITE (7 SEAS ELITE),GOLFP,04/15/2025
GOOD,18 gal,7 SEAS ELITE (7 SEAS ELITE),558,7 SEAS ELITE (7 SEAS ELITE),GOOD,08/08/2023
GOOD,32.29688 gal,7 SEAS ELITE (7 SEAS ELITE),1001.2,7 SEAS ELITE (7 SEAS ELITE),GOOD,04/15/2025
GOOD,33.55469 gal,7 SEAS ELITE (7 SEAS ELITE),1013.69,7 SEAS ELITE (7 SEAS ELITE),GOOD,04/16/2024
GOOD,36 gal,7 SEAS ELITE (7 SEAS ELITE),1116,7 SEAS ELITE (7 SEAS ELITE),GOOD,07/09/2024
HF MGMT,9.32031 gal,7 SEAS ELITE (7 SEAS ELITE),281.57,7 SEAS ELITE (7 SEAS ELITE),HF MGMT,04/16/2024
JK,24 gal,7 SEAS ELITE (7 SEAS ELITE),744,7 SEAS ELITE (7 SEAS ELITE),JK,08/08/2023
JK,36.90625 gal,7 SEAS ELITE (7 SEAS ELITE),1144.09,7 SEAS ELITE (7 SEAS ELITE),JK,04/15/2025
JK,37.28125 gal,7 SEAS ELITE (7 SEAS ELITE),1126.27,7 SEAS ELITE (7 SEAS ELITE),JK,04/16/2024
JK,48 gal,7 SEAS ELITE (7 SEAS ELITE),1488,7 SEAS ELITE (7 SEAS ELITE),JK,07/09/2024
KF,134.76563 gal,7 SEAS ELITE (7 SEAS ELITE),4177.73,7 SEAS ELITE (7 SEAS ELITE),KF,04/15/2025
MAZZ-HOME,11.65625 gal,7 SEAS ELITE (7 SEAS ELITE),352.14,7 SEAS ELITE (7 SEAS ELITE),MAZZ-HOME,04/16/2024
MAZZ-HOME,12.91406 gal,7 SEAS ELITE (7 SEAS ELITE),400.34,7 SEAS ELITE (7 SEAS ELITE),MAZZ-HOME,04/15/2025
RCH,27.67969 gal,7 SEAS ELITE (7 SEAS ELITE),858.07,7 SEAS ELITE (7 SEAS ELITE),RCH,04/15/2025
RCH,29.82813 gal,7 SEAS ELITE (7 SEAS ELITE),901.11,7 SEAS ELITE (7 SEAS ELITE),RCH,04/16/2024
RCH,36 gal,7 SEAS ELITE (7 SEAS ELITE),1116,7 SEAS ELITE (7 SEAS ELITE),RCH,07/09/2024
REYES,30.75781 gal,7 SEAS ELITE (7 SEAS ELITE),929.19,7 SEAS ELITE (7 SEAS ELITE),REYES,04/16/2024
REYES,32.29688 gal,7 SEAS ELITE (7 SEAS ELITE),1001.2,7 SEAS ELITE (7 SEAS ELITE),REYES,04/15/2025
REYES,36 gal,7 SEAS ELITE (7 SEAS ELITE),1116,7 SEAS ELITE (7 SEAS ELITE),REYES,08/08/2023
SP50,44.27344 gal,7 SEAS ELITE (7 SEAS ELITE),1337.5,7 SEAS ELITE (7 SEAS ELITE),SP50,04/16/2024
SP50,46.13281 gal,7 SEAS ELITE (7 SEAS ELITE),1430.12,7 SEAS ELITE (7 SEAS ELITE),SP50,04/15/2025
TERK,110 gal,7 SEAS ELITE (7 SEAS ELITE),3410,7 SEAS ELITE (7 SEAS ELITE),TERK,04/15/2025
TOP,59.97656 gal,7 SEAS ELITE (7 SEAS ELITE),1859.27,7 SEAS ELITE (7 SEAS ELITE),TOP,04/15/2025
TOP,61.51563 gal,7 SEAS ELITE (7 SEAS ELITE),1858.39,7 SEAS ELITE (7 SEAS ELITE),TOP,04/16/2024
WFP - DAWLEY,13.83594 gal,7 SEAS ELITE (7 SEAS ELITE),428.91,7 SEAS ELITE (7 SEAS ELITE),WFP - DAWLEY,04/15/2025
WFP - DAWLEY,15.84375 gal,7 SEAS ELITE (7 SEAS ELITE),478.64,7 SEAS ELITE (7 SEAS ELITE),WFP - DAWLEY,04/16/2024
WFP - DAWLEY,16.8125 gal,7 SEAS ELITE (7 SEAS ELITE),521.19,7 SEAS ELITE (7 SEAS ELITE),WFP - DAWLEY,07/09/2024
505 NORTH,12 gal,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),248.64,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),505 NORTH,07/12/2022
505 NORTH,37.5 gal,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),777,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),505 NORTH,11/01/2022
505 SOUTH,12.375 gal,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),256.41,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),505 SOUTH,07/12/2022
505 SOUTH,18.375 gal,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),387.53,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE),505 SOUTH,08/08/2023
