Attribute,Category,Type,Value,Year
2013 East,4300-01 · Custom Farming Equipment,Income,0,2021
2013 East,4300-01 · Custom Farming Equipment,Income,0,2022
2013 East,4300-01 · Custom Farming Equipment,Income,0,2023
2013 East,4300-01 · Custom Farming Equipment,Income,0,2024
2013 East,4300-02 · Custom Harvesting Equipment,Income,0,2021
2013 East,4300-02 · Custom Harvesting Equipment,Income,0,2022
2013 East,4300-02 · Custom Harvesting Equipment,Income,0,2023
2013 East,4300-02 · Custom Harvesting Equipment,Income,0,2024
2013 East,4412 · Labor Income - Other,Income,0,2021
2013 East,4412 · Labor Income - Other,Income,0,2022
2013 East,4412 · Labor Income - Other,Income,0,2023
2013 East,4412 · Labor Income - Other,Income,0,2024
2013 East,4412-01 · Custom Farming Labor,Income,0,2021
2013 East,4412-01 · Custom Farming Labor,Income,0,2022
2013 East,4412-01 · Custom Farming Labor,Income,0,2023
2013 East,4412-01 · Custom Farming Labor,Income,0,2024
2013 East,4500-01 · Management Fees Income,Income,0,2021
2013 East,4500-01 · Management Fees Income,Income,0,2022
2013 East,4500-01 · Management Fees Income,Income,0,2023
2013 East,4500-01 · Management Fees Income,Income,0,2024
2013 East,4500-02 · Clerical Variable Income,Income,0,2021
2013 East,4500-02 · Clerical Variable Income,Income,0,2022
2013 East,4500-02 · Clerical Variable Income,Income,0,2023
2013 East,4500-02 · Clerical Variable Income,Income,0,2024
2013 East,4500-03 · Customers' Crop Share,Income,0,2021
2013 East,4500-03 · Customers' Crop Share,Income,0,2022
2013 East,4500-03 · Customers' Crop Share,Income,0,2023
2013 East,4500-03 · Customers' Crop Share,Income,0,2024
2013 East,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
2013 East,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
2013 East,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
2013 East,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
2013 East,5000-01 · Labor Hire Payroll,COGS,0,2021
2013 East,5000-01 · Labor Hire Payroll,COGS,0,2022
2013 East,5000-01 · Labor Hire Payroll,COGS,0,2023
2013 East,5000-01 · Labor Hire Payroll,COGS,0,2024
2013 East,5002-01 · Labor Hire Payroll Taxes,COGS,0,2021
2013 East,5002-01 · Labor Hire Payroll Taxes,COGS,0,2022
2013 East,5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
2013 East,5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
2013 East,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
2013 East,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
2013 East,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
2013 East,5002-04 · Harvesting Payroll Taxes,COGS,54.85,2024
2013 East,Total COGS,COGS,0,2021
2013 East,Total COGS,COGS,0,2022
2013 East,Total COGS,COGS,0,2023
2013 East,Total COGS,COGS,600.6,2024
2013 East,Total Expense,Expense,0,2021
2013 East,Total Expense,Expense,0,2022
2013 East,Total Expense,Expense,0,2023
2013 East,Total Expense,Expense,0,2024
2013 East,Total Income,Income,0,2021
2013 East,Total Income,Income,0,2022
2013 East,Total Income,Income,0,2023
2013 East,Total Income,Income,0,2024
505 NORTH,4300-01 · Custom Farming Equipment,Income,28929.5,2024
505 NORTH,4300-01 · Custom Farming Equipment,Income,30712.5,2021
505 NORTH,4300-01 · Custom Farming Equipment,Income,48816.04,2023
505 NORTH,4300-01 · Custom Farming Equipment,Income,58718.45,2022
505 NORTH,4300-02 · Custom Harvesting Equipment,Income,0,2021
505 NORTH,4300-02 · Custom Harvesting Equipment,Income,0,2022
505 NORTH,4300-02 · Custom Harvesting Equipment,Income,0,2024
505 NORTH,4300-02 · Custom Harvesting Equipment,Income,59443,2023
505 NORTH,4412 · Labor Income - Other,Income,0,2021
505 NORTH,4412 · Labor Income - Other,Income,0,2022
505 NORTH,4412 · Labor Income - Other,Income,0,2023
505 NORTH,4412 · Labor Income - Other,Income,0,2024
505 NORTH,4412-01 · Custom Farming Labor,Income,175660.75,2022
505 NORTH,4412-01 · Custom Farming Labor,Income,27722,2024
505 NORTH,4412-01 · Custom Farming Labor,Income,62917,2023
505 NORTH,4412-01 · Custom Farming Labor,Income,82031,2021
505 NORTH,4500-01 · Management Fees Income,Income,14700,2024
505 NORTH,4500-01 · Management Fees Income,Income,16212.5,2022
505 NORTH,4500-01 · Management Fees Income,Income,22050,2021
505 NORTH,4500-01 · Management Fees Income,Income,22050,2023
505 NORTH,4500-02 · Clerical Variable Income,Income,10213.56,2021
505 NORTH,4500-02 · Clerical Variable Income,Income,12208,2024
505 NORTH,4500-02 · Clerical Variable Income,Income,17744.5,2023
505 NORTH,4500-02 · Clerical Variable Income,Income,18893.5,2022
505 NORTH,4500-03 · Customers' Crop Share,Income,3969,2024
505 NORTH,4500-03 · Customers' Crop Share,Income,4042.5,2022
505 NORTH,4500-03 · Customers' Crop Share,Income,4410,2023
505 NORTH,4500-03 · Customers' Crop Share,Income,4777.5,2021
505 NORTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,11319,2022
505 NORTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,12348,2021
505 NORTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,12348,2023
505 NORTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,9261,2024
505 NORTH,5000-01 · Labor Hire Payroll,COGS,20096.85,2024
505 NORTH,5000-01 · Labor Hire Payroll,COGS,27590.45,2021
505 NORTH,5000-01 · Labor Hire Payroll,COGS,32124.5,2023
505 NORTH,5000-01 · Labor Hire Payroll,COGS,69924.86,2022
505 NORTH,5002-01 · Labor Hire Payroll Taxes,COGS,1610.93,2024
505 NORTH,5002-01 · Labor Hire Payroll Taxes,COGS,2271.75,2021
505 NORTH,5002-01 · Labor Hire Payroll Taxes,COGS,2654.68,2023
505 NORTH,5002-01 · Labor Hire Payroll Taxes,COGS,6241.59,2022
505 NORTH,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
505 NORTH,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
505 NORTH,5002-04 · Harvesting Payroll Taxes,COGS,120.29,2024
505 NORTH,5002-04 · Harvesting Payroll Taxes,COGS,4.13,2023
505 NORTH,Total COGS,COGS,23626.38,2024
505 NORTH,Total COGS,COGS,28743.23,2021
505 NORTH,Total COGS,COGS,33846.07,2023
505 NORTH,Total COGS,COGS,73115.84,2022
505 NORTH,Total Expense,Expense,0,2023
505 NORTH,Total Expense,Expense,0,2024
505 NORTH,Total Expense,Expense,3.26,2021
505 NORTH,Total Expense,Expense,'-3.26,2022
505 NORTH,Total Income,Income,164947.44,2021
505 NORTH,Total Income,Income,227788.54,2023
