Element_Full,High Threshold Value,Low Threshold Value
AL-ALUMINUM,8,4
B-BORON,12,6
CA-CALCIUM,2500,1500
CL-CHLORIDE,4000,2000
CO-COBALT,3.25,1.25
CU-COPPER,4,2
EC (MS/CM),15,8
FE-IRON,65,25
I-IODINE,6.5,2.5
K-POTASSIUM,10000,6000
MG-MAGNESIUM,2000,1000
MN-MANGANESE,40,15
MO-MOLYBDENUM,5.25,1.25
NA-SODIUM,80,40
NH4-AMMONIUM,500,200
NO3-NITRATE,250,50
PH,6.5,5.5
P-PHOSPHOROUS,800,400
SE-SELENIUM,2,1
SI-SILICON,100,40
S-SULFUR,700,300
TOTAL NITROGEN (PPM),8500,3500
TOTAL SUGARS (%),4,2
ZN-ZINC,20,10
